用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
62,0,0,1,1,0,1,0
63,0,0,1,2,2,0,0
64,0,6,4,13,2,8,3
65,0,2,2,2,1,1,0
66,0,2,3,22,4,14,4
67,0,0,1,1,0,1,0
68,0,4,4,7,0,7,0
69,0,0,1,5,0,5,0
70,0,1,2,4,0,3,1
71,0,0,1,2,0,2,0
72,0,4,2,5,2,2,1
73,0,1,2,3,0,2,1
74,0,4,5,15,6,6,3
75,0,3,4,13,4,5,4
76,0,6,7,84,25,43,16
77,0,6,7,20,5,7,8
78,0,0,1,1,1,0,0
79,0,2,3,17,0,10,7
80,0,0,1,3,0,3,0
81,0,0,1,2,0,2,0
82,0,1,2,5,0,5,0
83,0,2,3,9,3,5,1
84,0,0,1,3,3,0,0
85,0,3,4,14,2,4,8
86,0,2,3,26,4,16,6
87,0,1,2,8,0,6,2
88,0,0,1,1,0,0,1
89,0,0,1,2,2,0,0
90,0,0,1,3,0,3,0
91,0,0,1,3,3,0,0
92,0,4,5,27,4,14,9
93,0,0,1,6,0,6,0
94,0,0,1,1,0,0,1
95,0,2,3,14,2,5,7
96,0,2,2,4,0,0,4
97,0,0,1,1,0,0,1
98,0,0,1,2,0,0,2
99,0,0,1,2,2,0,0
100,0,0,1,2,1,1,0
101,0,0,1,4,0,3,1
102,0,3,3,4,1,1,2
103,0,0,1,1,0,1,0
104,0,0,1,1,0,0,1
105,0,2,3,10,2,7,1
106,0,6,7,13,3,9,1
107,0,2,3,5,0,5,0
108,0,0,1,1,1,0,0
109,0,3,3,7,0,1,6
110,0,0,1,4,0,4,0
